                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 3.1065,                 2.9074,                 2.3556,                0.43216,                 0.0145,                0.00178,                0.00047,                 3.6469,                  6.496,                 3.0707,             0.00089496,             0.00089496,             0.00089496
                     80,                 3.0239,                 2.9438,                 2.3159,                0.44475,                0.00698,                0.00307,                0.00085,                  3.659,                 5.9509,                 3.0043,             0.00089478,             0.00089478,             0.00089478
                     81,                 3.0722,                 2.9915,                 2.4094,                0.44191,                0.00644,                0.00388,                0.00102,                 3.6484,                 6.5783,                 3.0701,              0.0008946,              0.0008946,              0.0008946
                     82,                  3.061,                 2.8871,                 2.3066,                0.15595,                0.03899,                0.00419,                0.00131,                 3.8027,                 10.188,                 3.2951,             0.00089442,             0.00089442,             0.00089442
                     83,                  3.009,                 2.8609,                 2.3016,                0.44904,                0.12874,                0.09278,                0.03222,                 2.9737,                 3.2157,                 2.3357,             0.00089424,             0.00089424,             0.00089424
                     84,                 2.9376,                 2.7857,                 2.2508,                 0.5146,                0.01733,                0.01587,                0.00613,                 3.2256,                 4.6631,                 2.5789,             0.00089406,             0.00089406,             0.00089406
                     85,                 2.9779,                 2.9253,                 2.3234,                 0.4529,                0.03341,                0.01536,                0.00589,                 3.2865,                 4.4573,                 2.5858,             0.00089388,             0.00089388,             0.00089388
                     86,                 2.9504,                 2.8417,                 2.3177,                0.19924,                0.11219,                0.10511,                0.04185,                 3.0703,                 2.9794,                 2.3912,              0.0008937,              0.0008937,              0.0008937
                     87,                 2.9188,                 2.8227,                 2.2756,                0.19273,                0.19669,                0.05285,                0.02049,                 3.0226,                 3.2174,                 2.3811,             0.00089352,             0.00089352,             0.00089352
                     88,                 2.8719,                 2.8486,                 2.2087,                0.62152,                0.06545,                0.05578,                0.01669,                 2.9994,                 3.2348,                 2.4545,             0.00089334,             0.00089334,             0.00089334
                     89,                 2.8516,                 2.8215,                 2.2633,                0.49308,                0.04622,                0.04109,                0.01386,                 3.1636,                 3.4476,                 2.6071,             0.00089316,             0.00089316,             0.00089316
                     90,                 2.9324,                 2.8602,                 2.2707,                0.33941,                0.23259,                 0.1837,                0.05913,                 2.8531,                 2.7961,                 2.3327,             0.00089298,             0.00089298,             0.00089298
                     91,                 2.9384,                  2.785,                 2.2544,                0.33478,                0.23392,                0.19892,                0.06832,                 2.8331,                 2.7747,                 2.3254,              0.0008928,              0.0008928,              0.0008928
                     92,                 2.8881,                  2.797,                 2.2561,                0.26563,                0.14199,                0.12085,                 0.0476,                 2.8286,                  2.774,                 2.3792,             0.00089262,             0.00089262,             0.00089262
                     93,                 2.7911,                 2.7511,                 2.2287,                0.28232,                0.15615,                0.13272,                0.05179,                 2.8386,                 2.7079,                 2.3582,             0.00089244,             0.00089244,             0.00089244
                     94,                 2.8683,                 2.8353,                 2.2566,                0.27197,                0.20212,                0.13398,                0.05131,                 2.7896,                 2.7432,                 2.3076,             0.00089226,             0.00089226,             0.00089226
                     95,                 2.8189,                 2.7789,                 2.1637,                0.20473,                0.15399,                0.09383,                0.03432,                 2.8497,                 3.0043,                 2.3528,             0.00089208,             0.00089208,             0.00089208
                     96,                 2.8574,                 2.7434,                 2.2428,                0.16204,                0.01865,                0.00821,                0.00255,                 3.2954,                 4.6401,                 2.7038,              0.0008919,              0.0008919,              0.0008919
                     97,                 2.8551,                 2.5979,                 2.2684,                0.16699,                0.01852,                0.00717,                0.00206,                 3.3045,                 4.7972,                  2.649,             0.00089172,             0.00089172,             0.00089172
                     98,                 2.8211,                 2.7089,                 2.2148,                0.31092,                0.06033,                0.01726,                0.00476,                 3.0222,                 3.9944,                 2.4358,             0.00089154,             0.00089154,             0.00089154
                     99,                 2.8814,                 2.7486,                 2.2158,                0.15801,                0.18322,                0.11773,                0.04118,                 2.7952,                 2.8155,                  2.248,             0.00089136,             0.00089136,             0.00089136
                    100,                 2.8642,                 2.7171,                 2.2477,                0.30853,                0.06961,                0.01322,                0.00367,                 3.4054,                 4.3957,                 2.6889,             0.00089118,             0.00089118,             0.00089118
                    101,                 2.8029,                   2.75,                 2.1893,                0.17499,                0.07824,                0.01903,                0.00617,                 3.3701,                  4.321,                 2.7111,               0.000891,               0.000891,               0.000891
                    102,                 2.8357,                 2.6885,                  2.251,                0.63387,                0.05416,                0.02988,                0.00767,                   3.24,                 3.6197,                 2.6316,             0.00089082,             0.00089082,             0.00089082
                    103,                 2.7717,                 2.7191,                 2.1786,                0.23542,                0.20012,                0.14083,                0.04814,                 2.8805,                 3.0481,                 2.3309,             0.00089064,             0.00089064,             0.00089064
                    104,                 2.8586,                 2.7256,                 2.1684,                0.31562,                0.23149,                0.16575,                0.06541,                 2.7131,                   2.87,                 2.2431,             0.00089046,             0.00089046,             0.00089046
                    105,                 2.7571,                 2.6608,                 2.1727,                0.29179,                0.17744,                0.13128,                0.04879,                 2.7142,                 2.7744,                 2.2444,             0.00089028,             0.00089028,             0.00089028
                    106,                 2.8493,                  2.654,                 2.1586,                 0.5515,                0.09061,                0.05283,                0.01507,                 3.0741,                 3.2778,                 2.4864,              0.0008901,              0.0008901,              0.0008901
                    107,                 2.7677,                 2.5819,                 2.1332,                0.53474,                 0.0889,                0.04954,                0.01424,                 3.0663,                 3.4036,                  2.524,             0.00088992,             0.00088992,             0.00088992
                    108,                 2.7296,                  2.587,                 2.0835,                0.35441,                0.06093,                0.03765,                0.00966,                 3.1592,                 3.6656,                 2.6935,             0.00088974,             0.00088974,             0.00088974
                    109,                   2.71,                 2.6861,                 2.1616,                0.38374,                0.04395,                 0.0374,                0.00999,                  3.232,                 3.8769,                 2.7658,             0.00088956,             0.00088956,             0.00088956
                    110,                 2.7532,                 2.5836,                 2.1275,                0.38072,                  0.056,                0.03155,                0.00888,                 3.2309,                 3.7045,                  2.706,             0.00088938,             0.00088938,             0.00088938
                    111,                 2.6513,                  2.585,                 2.1174,                0.36309,                0.05275,                0.03734,                0.01296,                 2.9841,                 3.3594,                 2.4517,              0.0008892,              0.0008892,              0.0008892
                    112,                 2.7128,                 2.5811,                 2.0819,                0.41881,                0.20827,                0.15811,                0.07119,                 2.6161,                 2.8431,                 2.1807,             0.00088902,             0.00088902,             0.00088902
                    113,                 2.6741,                 2.5686,                 2.0954,                0.44244,                0.21727,                0.18416,                0.08212,                 2.6278,                 2.7942,                 2.2047,             0.00088884,             0.00088884,             0.00088884
                    114,                 2.7545,                 2.6622,                 2.1275,                 0.4069,                0.26383,                0.23165,                0.09851,                 2.5596,                 2.5816,                 2.1725,             0.00088866,             0.00088866,             0.00088866
                    115,                 2.6133,                 2.5864,                 2.1478,                0.48488,                0.18071,                0.18743,                 0.0746,                 2.6159,                 2.6256,                 2.2013,             0.00088848,             0.00088848,             0.00088848
                    116,                 2.6329,                 2.5596,                 2.1081,                0.42649,                0.09461,                0.07453,                 0.0224,                 2.8751,                 3.1393,                 2.3391,              0.0008883,              0.0008883,              0.0008883
                    117,                 2.6252,                 2.3989,                 2.0217,                0.25735,                0.15632,                0.11774,                0.04106,                 2.8222,                 3.0535,                 2.2698,             0.00088812,             0.00088812,             0.00088812
                    118,                 2.6251,                  2.358,                 2.0599,                0.44909,                0.09615,                0.10919,                0.04503,                 2.7377,                 3.0826,                 2.2128,             0.00088794,             0.00088794,             0.00088794
                    119,                  2.561,                 2.4457,                  2.057,                0.40883,                0.05284,                0.04115,                0.01317,                 2.9582,                 3.9218,                 2.4333,             0.00088776,             0.00088776,             0.00088776
                    120,                 2.5547,                 2.4233,                 2.0587,                0.47986,                0.14952,                0.15117,                0.06362,                 2.5799,                 2.8092,                 2.1702,             0.00088758,             0.00088758,             0.00088758
